cod_apo,regiao,ano_modelo,tipo_franq,val_franq,is_casco,utilizacao,clas_bonus,perc_bonus,sexo,idade_condutor,exposicao,pre_casco,n_sinistros,valor_sinistro
77670193,01,2008,1,1733,23767,0,6,30,M,38.27789185489391,0.4654346338124572,1004,0,0
187416428,01,2012,1,1499,15587,1,0,30,F,37.073237508555785,0.01642710472279261,1059,0,0
38271037,01,2018,2,2646,53433,2,1,0,F,27.876796714579054,0.27652292950034224,1197,0,0
141028047,01,2009,1,2019,19312,2,7,40,M,32.251882272416154,0.49555099247091033,727,0,0
203407253,01,2009,1,1225,20840,0,7,30,F,66.86926762491444,0.2135523613963039,745,0,0
256521834,01,2008,1,2037,26883,2,9,30,M,63.794661190965094,0.49555099247091033,1145,0,0
216967687,01,2019,2,2698,41727,3,0,0,M,55.800136892539356,0.35044490075290896,1506,0,0
98694142,01,2013,1,1616,19735,2,3,20,F,55.20602327173169,0.3531827515400411,805,0,0
198843624,01,2014,1,3174,38305,2,1,0,M,40.106776180698155,0.49555099247091033,850,0,0
100510120,01,2016,1,1650,46634,0,9,30,M,34.614647501711154,0.24914442162902123,1605,0,0
215018705,01,2010,1,1947,20767,2,9,0,M,58.81177275838467,0.49555099247091033,802,0,0
269739332,01,2017,1,1726,40669,1,3,20,M,52.1368925393566,0.06023271731690623,783,0,0
141918288,01,2012,2,1884,36413,2,6,0,F,50.888432580424364,0.2874743326488706,818,0,0
51288775,01,2014,2,1546,26953,2,1,0,M,28.36413415468857,0.10951403148528405,956,0,0
247066510,01,2014,1,1483,42534,1,1,30,M,75.89596167008898,0.2655715263518138,1318,0,0
244366321,01,2017,1,2014,34416,1,6,0,F,55.66598220396988,0.49555099247091033,553,0,0
207629519,01,2014,1,1538,42582,1,0,10,F,34.89664613278576,0.12594113620807665,1129,0,0
100423660,01,2017,1,2122,32978,1,0,49,M,42.04791238877481,0.16700889801505817,1164,0,0
115510285,01,2017,1,2444,60465,2,4,25,F,51.75633127994524,0.49555099247091033,1071,0,0
96272669,01,2011,1,1864,22630,2,1,10,F,36.427104722792606,0.3531827515400411,518,0,0
50129998,01,2013,1,1595,34356,0,3,20,M,37.713894592744694,0.49555099247091033,1139,0,0
142503118,01,2014,1,1559,48981,1,0,20,M,58.35728952772074,0.2546201232032854,1579,0,0
94096966,01,2005,2,3630,22972,0,4,25,M,40.24366872005476,0.29842573579739906,796,0,0
184897215,01,2014,1,1814,43228,2,9,44,F,64.65708418891171,0.49555099247091033,578,0,0
48453354,01,2012,1,2190,34570,2,6,35,M,53.204654346338124,0.2327173169062286,640,0,0
273356293,01,2014,1,2053,43117,1,0,30,F,27.89869952087611,0.49555099247091033,785,0,0
246152869,01,2018,1,1696,47180,1,0,20,F,58.49144421629021,0.4681724845995893,974,0,0
229433166,01,2016,1,1632,29125,1,0,30,F,48.61875427789185,0.30116358658453113,724,0,0
220047358,01,2016,1,1616,48307,1,0,10,F,47.945242984257355,0.22176591375770022,1310,0,0
49371581,01,2012,1,3014,19671,2,2,0,F,35.31006160164271,0.09034907597535935,493,0,0
142396692,01,2014,1,1332,24383,1,3,0,F,34.940451745379875,0.3586584531143053,941,0,0
50571552,01,2016,2,2900,33876,0,1,10,M,33.451060917180016,0.49555099247091033,1139,0,0
127059007,01,2013,1,2294,32793,1,0,30,F,39.24435318275154,0.1998631074606434,1212,0,0
87524228,01,2011,1,1567,27661,1,0,30,M,43.78370978781656,0.27652292950034224,1225,0,0
196681733,01,2017,1,4137,103417,0,9,30,F,46.56810403832991,0.2080766598220397,1368,0,0
151488970,01,2010,1,1401,21467,2,8,35,F,54.16290212183436,0.31759069130732376,701,0,0
279768311,01,2019,1,1984,53119,0,1,12,F,45.53867214236824,0.013689253935660506,1054,0,0
184864785,01,2015,1,2080,45880,2,9,30,M,54.945927446954144,0.49555099247091033,1550,0,0
195313812,01,2013,1,1519,29549,1,0,15,M,43.23066392881588,0.17522245037645448,1591,0,0
173163675,01,2014,1,2003,40928,1,0,30,F,39.20602327173169,0.45722108145106094,1402,0,0
145301704,01,2013,2,4024,31195,2,1,0,M,67.53456536618754,0.02737850787132101,505,0,0
50349328,01,2014,2,3149,25850,2,5,30,F,31.81930184804928,0.49555099247091033,1487,0,0
253006651,01,2012,2,3509,23350,1,0,0,F,37.56605065023956,0.03285420944558522,491,0,0
191059015,01,2010,1,1621,26119,2,9,15,M,46.04517453798768,0.49555099247091033,1213,0,0
194257973,01,2011,4,2816,24848,1,9,0,M,43.885010266940455,0.35592060232717315,616,0,0
201529677,01,2017,2,1531,55569,2,1,0,M,88.06570841889118,0.49555099247091033,1072,0,0
103913964,01,2012,2,3273,22745,2,3,20,F,70.0561259411362,0.27104722792607805,475,0,0
125754405,01,2011,1,1887,24851,2,7,40,M,64.23545516769336,0.3394934976043806,790,0,0
225531072,01,2014,1,1790,31818,2,5,30,F,28.470910335386723,0.49555099247091033,928,0,0
181223106,01,2006,1,1906,18606,2,4,25,M,47.50444900752909,0.2053388090349076,723,0,0
237291774,01,2004,1,1649,13699,2,7,40,F,58.10814510609172,0.010951403148528405,550,0,0
55059543,01,2017,1,1397,35549,1,0,30,F,46.81177275838467,0.49555099247091033,1171,0,0
224868292,01,2018,1,2257,58530,2,2,15,F,61.83983572895277,0.12046543463381246,898,0,0
164721709,01,2012,2,2545,26174,2,3,20,F,31.381245722108144,0.34770704996577684,956,0,0
63327070,01,2013,1,1567,24879,1,0,0,M,85.4757015742642,0.27652292950034224,593,0,0
208851143,01,2012,1,2078,29157,1,1,30,F,61.648186173853524,0.49555099247091033,984,2,2051
228107279,01,2001,2,2989,10679,2,4,25,F,22.51334702258727,0.49555099247091033,687,0,0
41052485,01,2013,2,1884,33965,2,8,0,M,41.973990417522245,0.49555099247091033,833,0,0
96015279,01,2008,1,1776,19388,2,9,15,M,86.78986995208761,0.1806981519507187,1853,0,0
71172074,01,2018,1,2407,100384,1,9,0,F,51.006160164271044,0.46269678302532513,1490,0,0
39633843,01,2012,2,5486,45111,2,1,0,M,29.10609171800137,0.2053388090349076,1176,0,0
131722150,01,2013,1,1588,23345,1,0,30,M,32.31759069130732,0.4161533196440794,1078,0,0
283281495,01,2010,1,1681,20077,1,1,30,M,45.5605749486653,0.23819301848049282,1122,0,0
264331921,01,2007,1,1159,15850,1,7,35,F,38.15468856947297,0.2792607802874743,0,0,0
88994219,01,2011,1,2075,51809,0,9,30,M,63.865845311430526,0.49555099247091033,1356,0,0
169891184,01,2008,1,1687,16097,2,2,15,M,78.50239561943874,0.46269678302532513,848,0,0
